Drug,Public/Private,Unit/MPR,Country,Year,Month,Price,P25,P75
Ceftriaxone 1 g/vial injection,Private,Unit,Democratic Republic of Congo,2007,July,2.52,1.62,3.03
Ceftriaxone 1 g/vial injection,Public,Unit,Democratic Republic of Congo,2007,July,3.03,0.83,4.09
Ciprofloxacin 500 mg cap/tab,Private,Unit,Democratic Republic of Congo,2007,July,0.06,0.05,0.10
Ciprofloxacin 500 mg cap/tab,Public,Unit,Democratic Republic of Congo,2007,July,0.06,0.05,0.10
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Democratic Republic of Congo,2007,July,0.01,0.01,<0.01
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,Democratic Republic of Congo,2007,July,0.01,0.01,<0.01
Diclofenac 50 mg cap/tab,Private,Unit,Democratic Republic of Congo,2007,July,0.01,0.01,0.01
Diclofenac 50 mg cap/tab,Public,Unit,Democratic Republic of Congo,2007,July,0.01,0.01,0.01
Glibenclamide 5 mg cap/tab,Private,Unit,Democratic Republic of Congo,2007,July,0.03,0.02,0.05
Glibenclamide 5 mg cap/tab,Public,Unit,Democratic Republic of Congo,2007,July,0.03,0.01,0.03
Omeprazole 20 mg cap/tab,Private,Unit,Democratic Republic of Congo,2007,July,0.10,0.07,0.14
Omeprazole 20 mg cap/tab,Public,Unit,Democratic Republic of Congo,2007,July,NO DATA,NO DATA,NO DATA
Salbutamol 100 mcg/dose inhaler,Private,Unit,Democratic Republic of Congo,2007,July,0.02,0.02,0.03
Salbutamol 100 mcg/dose inhaler,Public,Unit,Democratic Republic of Congo,2007,July,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,MPR,Ecuador,2008,September,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Public,MPR,Ecuador,2008,September,free,free,free
Amoxicillin 500 mg cap/tab,Private,MPR,Ecuador,2008,September,3.38,2.84,4.27
Amoxicillin 500 mg cap/tab,Public,MPR,Ecuador,2008,September,free,free,free
Atenolol 50 mg cap/tab,Private,MPR,Ecuador,2008,September,8.70,5.28,10.56
Atenolol 50 mg cap/tab,Public,MPR,Ecuador,2008,September,free,free,free
Captopril 25 mg cap/tab,Private,MPR,Ecuador,2008,September,4.76,4.05,4.76
Captopril 25 mg cap/tab,Public,MPR,Ecuador,2008,September,free,free,free
Ceftriaxone 1 g/vial injection,Private,MPR,Ecuador,2008,September,6.74,3.93,11.03
Ceftriaxone 1 g/vial injection,Public,MPR,Ecuador,2008,September,free,free,free
Ciprofloxacin 500 mg cap/tab,Private,MPR,Ecuador,2008,September,18.49,14.06,19.17
Ciprofloxacin 500 mg cap/tab,Public,MPR,Ecuador,2008,September,free,free,free
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Ecuador,2008,September,3.50,3.12,4.15
Co-trimoxazole 40+200 mg/5ml suspension,Public,MPR,Ecuador,2008,September,free,free,free
Diazepam 5 mg cap/tab,Private,MPR,Ecuador,2008,September,11.76,4.12,16.75
Diazepam 5 mg cap/tab,Public,MPR,Ecuador,2008,September,free,free,free
Diclofenac 50 mg cap/tab,Private,MPR,Ecuador,2008,September,17.78,16.67,19.56
Diclofenac 50 mg cap/tab,Public,MPR,Ecuador,2008,September,free,free,free
Glibenclamide 5 mg cap/tab,Private,MPR,Ecuador,2008,September,15.26,14.21,17.04
Glibenclamide 5 mg cap/tab,Public,MPR,Ecuador,2008,September,free,free,free
Omeprazole 20 mg cap/tab,Private,MPR,Ecuador,2008,September,6.59,5.88,7.86
Omeprazole 20 mg cap/tab,Public,MPR,Ecuador,2008,September,free,free,free
Paracetamol 120 mg/5ml suspension,Private,MPR,Ecuador,2008,September,3.95,2.97,5.66
Paracetamol 120 mg/5ml suspension,Public,MPR,Ecuador,2008,September,free,free,free
Salbutamol 100 mcg/dose inhaler,Private,MPR,Ecuador,2008,September,3.20,2.72,3.22
Salbutamol 100 mcg/dose inhaler,Public,MPR,Ecuador,2008,September,free,free,free
Simvastatin 20 mg cap/tab,Private,MPR,Ecuador,2008,September,16.95,8.85,19.78
Simvastatin 20 mg cap/tab,Public,MPR,Ecuador,2008,September,free,free,free
Amitriptyline 25 mg cap/tab,Private,Unit,Ecuador,2008,September,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Public,Unit,Ecuador,2008,September,free,free,free
Amoxicillin 500 mg cap/tab,Private,Unit,Ecuador,2008,September,0.16,0.13,0.20
Amoxicillin 500 mg cap/tab,Public,Unit,Ecuador,2008,September,free,free,free
Atenolol 50 mg cap/tab,Private,Unit,Ecuador,2008,September,0.14,0.09,0.17
Atenolol 50 mg cap/tab,Public,Unit,Ecuador,2008,September,free,free,free
Captopril 25 mg cap/tab,Private,Unit,Ecuador,2008,September,0.09,0.08,0.09
Captopril 25 mg cap/tab,Public,Unit,Ecuador,2008,September,free,free,free
Ceftriaxone 1 g/vial injection,Private,Unit,Ecuador,2008,September,6.09,3.55,9.97
Ceftriaxone 1 g/vial injection,Public,Unit,Ecuador,2008,September,free,free,free
Ciprofloxacin 500 mg cap/tab,Private,Unit,Ecuador,2008,September,0.59,0.45,0.61
Ciprofloxacin 500 mg cap/tab,Public,Unit,Ecuador,2008,September,free,free,free
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Ecuador,2008,September,0.01,0.01,0.02
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,Ecuador,2008,September,free,free,free
Diazepam 5 mg cap/tab,Private,Unit,Ecuador,2008,September,0.06,0.02,0.09
Diazepam 5 mg cap/tab,Public,Unit,Ecuador,2008,September,free,free,free
Diclofenac 50 mg cap/tab,Private,Unit,Ecuador,2008,September,0.08,0.08,0.09
Diclofenac 50 mg cap/tab,Public,Unit,Ecuador,2008,September,free,free,free
Glibenclamide 5 mg cap/tab,Private,Unit,Ecuador,2008,September,0.06,0.05,0.06
Glibenclamide 5 mg cap/tab,Public,Unit,Ecuador,2008,September,free,free,free
Omeprazole 20 mg cap/tab,Private,Unit,Ecuador,2008,September,0.28,0.25,0.33
Omeprazole 20 mg cap/tab,Public,Unit,Ecuador,2008,September,free,free,free
Paracetamol 120 mg/5ml suspension,Private,Unit,Ecuador,2008,September,0.02,0.01,0.02
Paracetamol 120 mg/5ml suspension,Public,Unit,Ecuador,2008,September,free,free,free
Salbutamol 100 mcg/dose inhaler,Private,Unit,Ecuador,2008,September,0.03,0.02,0.03
Salbutamol 100 mcg/dose inhaler,Public,Unit,Ecuador,2008,September,free,free,free
Simvastatin 20 mg cap/tab,Private,Unit,Ecuador,2008,September,0.69,0.36,0.81
Simvastatin 20 mg cap/tab,Public,Unit,Ecuador,2008,September,free,free,free
Amitriptyline 25 mg cap/tab,Private,MPR,Egypt,2013,September,2.42,2.42,2.42
Atenolol 50 mg cap/tab,Private,MPR,Egypt,2013,September,2.22,2.22,2.22
Captopril 25 mg cap/tab,Private,MPR,Egypt,2013,September,2.15,2.15,2.15
Diazepam 5 mg cap/tab,Private,MPR,Egypt,2013,September,6.91,2.88,6.91
Glibenclamide 5 mg cap/tab,Private,MPR,Egypt,2013,September,3.46,3.46,3.46
Omeprazole 20 mg cap/tab,Private,MPR,Egypt,2013,September,5.78,5.78,9.85
Salbutamol 100 mcg/dose inhaler,Private,MPR,Egypt,2013,September,0.76,0.76,0.76
Simvastatin 20 mg cap/tab,Private,MPR,Egypt,2013,September,16.45,16.45,16.45
Amitriptyline 25 mg cap/tab,Private,Unit,Egypt,2013,September,0.02,0.02,0.02
Atenolol 50 mg cap/tab,Private,Unit,Egypt,2013,September,0.02,0.02,0.02
Captopril 25 mg cap/tab,Private,Unit,Egypt,2013,September,0.05,0.05,0.05
Diazepam 5 mg cap/tab,Private,Unit,Egypt,2013,September,0.04,0.02,0.04
Glibenclamide 5 mg cap/tab,Private,Unit,Egypt,2013,September,0.02,0.01,0.01
Omeprazole 20 mg cap/tab,Private,Unit,Egypt,2013,September,0.14,0.14,0.24
Salbutamol 100 mcg/dose inhaler,Private,Unit,Egypt,2013,September,0.01,0.01,<0.01
Simvastatin 20 mg cap/tab,Private,Unit,Egypt,2013,September,0.42,0.41,0.41
Amitriptyline 25 mg cap/tab,Private,MPR,El Salvador,2006,November,72.10,61.29,78.91
Amitriptyline 25 mg cap/tab,Public,MPR,El Salvador,2006,November,free,free,free
Atenolol 50 mg cap/tab,Private,MPR,El Salvador,2006,November,51.94,41.42,64.09
Atenolol 50 mg cap/tab,Public,MPR,El Salvador,2006,November,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,MPR,El Salvador,2006,November,28.89,20.09,32.15
Captopril 25 mg cap/tab,Public,MPR,El Salvador,2006,November,free,free,free
Ceftriaxone 1 g/vial injection,Private,MPR,El Salvador,2006,November,15.42,12.18,16.78
Ceftriaxone 1 g/vial injection,Public,MPR,El Salvador,2006,November,free,free,free
Ciprofloxacin 500 mg cap/tab,Private,MPR,El Salvador,2006,November,56.90,33.83,93.82
Ciprofloxacin 500 mg cap/tab,Public,MPR,El Salvador,2006,November,free,free,free
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,El Salvador,2006,November,13.22,10.82,15.57
Co-trimoxazole 40+200 mg/5ml suspension,Public,MPR,El Salvador,2006,November,free,free,free
Diazepam 5 mg cap/tab,Private,MPR,El Salvador,2006,November,47.62,35.71,59.52
Diazepam 5 mg cap/tab,Public,MPR,El Salvador,2006,November,NO DATA,NO DATA,NO DATA
Glibenclamide 5 mg cap/tab,Private,MPR,El Salvador,2006,November,53.85,44.44,71.79
Glibenclamide 5 mg cap/tab,Public,MPR,El Salvador,2006,November,free,free,free
Omeprazole 20 mg cap/tab,Private,MPR,El Salvador,2006,November,17.90,13.05,24.12
Omeprazole 20 mg cap/tab,Public,MPR,El Salvador,2006,November,free,free,free
Paracetamol 120 mg/5ml suspension,Private,MPR,El Salvador,2006,November,11.06,7.29,15.73
Paracetamol 120 mg/5ml suspension,Public,MPR,El Salvador,2006,November,free,free,free
Salbutamol 100 mcg/dose inhaler,Private,MPR,El Salvador,2006,November,4.23,3.97,4.79
Salbutamol 100 mcg/dose inhaler,Public,MPR,El Salvador,2006,November,free,free,free
Amitriptyline 25 mg cap/tab,Private,Unit,El Salvador,2006,November,0.35,0.30,0.39
Amitriptyline 25 mg cap/tab,Public,Unit,El Salvador,2006,November,free,free,free
Atenolol 50 mg cap/tab,Private,Unit,El Salvador,2006,November,0.46,0.36,0.56
Atenolol 50 mg cap/tab,Public,Unit,El Salvador,2006,November,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,Unit,El Salvador,2006,November,0.53,0.37,0.59
Captopril 25 mg cap/tab,Public,Unit,El Salvador,2006,November,free,free,free
Ceftriaxone 1 g/vial injection,Private,Unit,El Salvador,2006,November,18.40,14.53,20.02
Ceftriaxone 1 g/vial injection,Public,Unit,El Salvador,2006,November,free,free,free
Ciprofloxacin 500 mg cap/tab,Private,Unit,El Salvador,2006,November,1.51,0.90,2.50
Ciprofloxacin 500 mg cap/tab,Public,Unit,El Salvador,2006,November,free,free,free
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,El Salvador,2006,November,0.05,0.04,0.06
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,El Salvador,2006,November,free,free,free
Diazepam 5 mg cap/tab,Private,Unit,El Salvador,2006,November,0.20,0.15,0.25
Diazepam 5 mg cap/tab,Public,Unit,El Salvador,2006,November,NO DATA,NO DATA,NO DATA
Glibenclamide 5 mg cap/tab,Private,Unit,El Salvador,2006,November,0.21,0.17,0.28
Glibenclamide 5 mg cap/tab,Public,Unit,El Salvador,2006,November,free,free,free
Omeprazole 20 mg cap/tab,Private,Unit,El Salvador,2006,November,1.06,0.78,1.43
Omeprazole 20 mg cap/tab,Public,Unit,El Salvador,2006,November,free,free,free
Paracetamol 120 mg/5ml suspension,Private,Unit,El Salvador,2006,November,0.04,0.02,0.05
Paracetamol 120 mg/5ml suspension,Public,Unit,El Salvador,2006,November,free,free,free
Salbutamol 100 mcg/dose inhaler,Private,Unit,El Salvador,2006,November,0.03,0.03,0.04
Salbutamol 100 mcg/dose inhaler,Public,Unit,El Salvador,2006,November,free,free,free
Amitriptyline 25 mg cap/tab,Private,MPR,Ethiopia,2013,August,4.58,4.10,6.11
Amitriptyline 25 mg cap/tab,Public,MPR,Ethiopia,2013,August,3.05,2.79,3.14
Amoxicillin 500 mg cap/tab,Private,MPR,Ethiopia,2013,August,1.71,1.71,1.71
Amoxicillin 500 mg cap/tab,Public,MPR,Ethiopia,2013,August,1.43,1.32,1.54
Ciprofloxacin 500 mg cap/tab,Private,MPR,Ethiopia,2013,August,1.41,1.27,1.41
Ciprofloxacin 500 mg cap/tab,Public,MPR,Ethiopia,2013,August,1.21,1.01,1.34
Diclofenac 50 mg cap/tab,Private,MPR,Ethiopia,2013,August,1.64,1.64,1.64
Diclofenac 50 mg cap/tab,Public,MPR,Ethiopia,2013,August,1.15,0.89,1.23
Glibenclamide 5 mg cap/tab,Private,MPR,Ethiopia,2013,August,1.91,1.65,2.54
Glibenclamide 5 mg cap/tab,Public,MPR,Ethiopia,2013,August,1.27,0.82,1.27
Paracetamol 120 mg/5ml suspension,Private,MPR,Ethiopia,2013,August,1.41,1.27,1.55
Paracetamol 120 mg/5ml suspension,Public,MPR,Ethiopia,2013,August,1.13,0.99,1.27
Amitriptyline 25 mg cap/tab,Private,Unit,Ethiopia,2013,August,0.03,0.03,0.04
Amitriptyline 25 mg cap/tab,Public,Unit,Ethiopia,2013,August,0.02,0.02,0.02
Amoxicillin 500 mg cap/tab,Private,Unit,Ethiopia,2013,August,0.05,0.05,0.05
Amoxicillin 500 mg cap/tab,Public,Unit,Ethiopia,2013,August,0.05,0.04,0.05
Ciprofloxacin 500 mg cap/tab,Private,Unit,Ethiopia,2013,August,0.05,0.05,0.05
Ciprofloxacin 500 mg cap/tab,Public,Unit,Ethiopia,2013,August,0.05,0.04,0.05
Diclofenac 50 mg cap/tab,Private,Unit,Ethiopia,2013,August,0.01,0.01,0.01
Diclofenac 50 mg cap/tab,Public,Unit,Ethiopia,2013,August,0.01,0.01,<0.01
Glibenclamide 5 mg cap/tab,Private,Unit,Ethiopia,2013,August,0.01,0.01,0.01
Glibenclamide 5 mg cap/tab,Public,Unit,Ethiopia,2013,August,0.01,0.01,<0.01
Paracetamol 120 mg/5ml suspension,Private,Unit,Ethiopia,2013,August,0.01,0.01,<0.01
Paracetamol 120 mg/5ml suspension,Public,Unit,Ethiopia,2013,August,0.01,0.01,<0.01
Amitriptyline 25 mg cap/tab,Private,MPR,Fiji,2004,September,3.86,2.32,4.63
Atenolol 50 mg cap/tab,Private,MPR,Fiji,2004,September,3.16,1.89,4.42
Captopril 25 mg cap/tab,Private,MPR,Fiji,2004,September,2.22,1.11,2.89
Ceftriaxone 1 g/vial injection,Private,MPR,Fiji,2004,September,NO DATA,NO DATA,NO DATA
Ciprofloxacin 500 mg cap/tab,Private,MPR,Fiji,2004,September,4.06,3.32,4.61
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Fiji,2004,September,3.26,2.41,4.89
Diazepam 5 mg cap/tab,Private,MPR,Fiji,2004,September,5.03,4.61,8.39
Glibenclamide 5 mg cap/tab,Private,MPR,Fiji,2004,September,2.86,1.43,5.73
Omeprazole 20 mg cap/tab,Private,MPR,Fiji,2004,September,0.54,0.50,0.60
Salbutamol 100 mcg/dose inhaler,Private,MPR,Fiji,2004,September,1.21,1.21,1.21
Amitriptyline 25 mg cap/tab,Private,Unit,Fiji,2004,September,0.03,0.02,0.04
Atenolol 50 mg cap/tab,Private,Unit,Fiji,2004,September,0.03,0.02,0.04
Captopril 25 mg cap/tab,Private,Unit,Fiji,2004,September,0.06,0.03,0.08
Ceftriaxone 1 g/vial injection,Private,Unit,Fiji,2004,September,NO DATA,NO DATA,NO DATA
Ciprofloxacin 500 mg cap/tab,Private,Unit,Fiji,2004,September,0.13,0.11,0.15
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Fiji,2004,September,0.01,0.01,0.02
Diazepam 5 mg cap/tab,Private,Unit,Fiji,2004,September,0.02,0.02,0.03
Glibenclamide 5 mg cap/tab,Private,Unit,Fiji,2004,September,0.01,0.01,0.02
Omeprazole 20 mg cap/tab,Private,Unit,Fiji,2004,September,0.11,0.10,0.12
Salbutamol 100 mcg/dose inhaler,Private,Unit,Fiji,2004,September,0.01,0.01,0.01
Amitriptyline 25 mg cap/tab,Private,MPR,Ghana,2004,October,4.13,2.95,7.38
Amitriptyline 25 mg cap/tab,Public,MPR,Ghana,2004,October,1.11,0.66,1.48
Atenolol 50 mg cap/tab,Private,MPR,Ghana,2004,October,6.03,5.67,9.65
Atenolol 50 mg cap/tab,Public,MPR,Ghana,2004,October,5.43,4.16,6.33
Captopril 25 mg cap/tab,Private,MPR,Ghana,2004,October,5.52,3.24,7.97
Captopril 25 mg cap/tab,Public,MPR,Ghana,2004,October,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Private,MPR,Ghana,2004,October,2.19,2.00,3.18
Ceftriaxone 1 g/vial injection,Public,MPR,Ghana,2004,October,2.20,1.93,3.18
Ciprofloxacin 500 mg cap/tab,Private,MPR,Ghana,2004,October,7.05,5.29,8.82
Ciprofloxacin 500 mg cap/tab,Public,MPR,Ghana,2004,October,7.05,7.05,8.42
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Ghana,2004,October,1.87,1.33,2.27
Co-trimoxazole 40+200 mg/5ml suspension,Public,MPR,Ghana,2004,October,1.56,1.40,1.56
Diazepam 5 mg cap/tab,Private,MPR,Ghana,2004,October,1.60,0.80,3.20
Diazepam 5 mg cap/tab,Public,MPR,Ghana,2004,October,0.88,0.64,1.60
Diclofenac 50 mg cap/tab,Private,MPR,Ghana,2004,October,10.30,6.58,12.02
Diclofenac 50 mg cap/tab,Public,MPR,Ghana,2004,October,8.58,6.87,10.59
Glibenclamide 5 mg cap/tab,Private,MPR,Ghana,2004,October,5.47,4.10,5.61
Glibenclamide 5 mg cap/tab,Public,MPR,Ghana,2004,October,5.47,3.83,6.84
Omeprazole 20 mg cap/tab,Private,MPR,Ghana,2004,October,1.03,0.92,1.14
Omeprazole 20 mg cap/tab,Public,MPR,Ghana,2004,October,1.03,0.93,1.14
Salbutamol 100 mcg/dose inhaler,Private,MPR,Ghana,2004,October,2.49,2.19,3.24
Salbutamol 100 mcg/dose inhaler,Public,MPR,Ghana,2004,October,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,Unit,Ghana,2004,October,0.03,0.02,0.06
Amitriptyline 25 mg cap/tab,Public,Unit,Ghana,2004,October,0.01,0.01,0.01
Atenolol 50 mg cap/tab,Private,Unit,Ghana,2004,October,0.06,0.05,0.09
Atenolol 50 mg cap/tab,Public,Unit,Ghana,2004,October,0.05,0.04,0.06
Captopril 25 mg cap/tab,Private,Unit,Ghana,2004,October,0.15,0.09,0.21
Captopril 25 mg cap/tab,Public,Unit,Ghana,2004,October,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Private,Unit,Ghana,2004,October,5.60,5.12,8.13
Ceftriaxone 1 g/vial injection,Public,Unit,Ghana,2004,October,5.63,4.94,8.13
Ciprofloxacin 500 mg cap/tab,Private,Unit,Ghana,2004,October,0.22,0.17,0.28
Ciprofloxacin 500 mg cap/tab,Public,Unit,Ghana,2004,October,0.22,0.22,0.27
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Ghana,2004,October,0.01,0.01,<0.01
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,Ghana,2004,October,0.01,0.01,<0.01
Diazepam 5 mg cap/tab,Private,Unit,Ghana,2004,October,0.01,0.01,0.01
Diazepam 5 mg cap/tab,Public,Unit,Ghana,2004,October,0.00,0.01,<0.01
Diclofenac 50 mg cap/tab,Private,Unit,Ghana,2004,October,0.05,0.03,0.06
Diclofenac 50 mg cap/tab,Public,Unit,Ghana,2004,October,0.04,0.03,0.05
Glibenclamide 5 mg cap/tab,Private,Unit,Ghana,2004,October,0.02,0.02,0.02
Glibenclamide 5 mg cap/tab,Public,Unit,Ghana,2004,October,0.02,0.02,0.03
Omeprazole 20 mg cap/tab,Private,Unit,Ghana,2004,October,0.20,0.18,0.22
Omeprazole 20 mg cap/tab,Public,Unit,Ghana,2004,October,0.20,0.18,0.22
Salbutamol 100 mcg/dose inhaler,Private,Unit,Ghana,2004,October,0.02,0.02,0.03
Salbutamol 100 mcg/dose inhaler,Public,Unit,Ghana,2004,October,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,MPR,Haiti,2011,August,13.26,9.95,20.72
Amitriptyline 25 mg cap/tab,Public,MPR,Haiti,2011,August,NO DATA,NO DATA,NO DATA
Amoxicillin 500 mg cap/tab,Private,MPR,Haiti,2011,August,4.34,3.48,4.34
Amoxicillin 500 mg cap/tab,Public,MPR,Haiti,2011,August,2.61,2.17,3.48
Atenolol 50 mg cap/tab,Private,MPR,Haiti,2011,August,15.91,10.61,26.52
Atenolol 50 mg cap/tab,Public,MPR,Haiti,2011,August,7.73,4.97,12.15
Captopril 25 mg cap/tab,Private,MPR,Haiti,2011,August,10.50,7.09,10.50
Captopril 25 mg cap/tab,Public,MPR,Haiti,2011,August,8.40,2.89,10.50
Ceftriaxone 1 g/vial injection,Private,MPR,Haiti,2011,August,5.48,4.38,5.55
Ceftriaxone 1 g/vial injection,Public,MPR,Haiti,2011,August,2.56,1.83,5.48
Ciprofloxacin 500 mg cap/tab,Private,MPR,Haiti,2011,August,5.08,4.12,8.23
Ciprofloxacin 500 mg cap/tab,Public,MPR,Haiti,2011,August,4.12,2.47,4.53
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Haiti,2011,August,4.50,3.60,4.72
Co-trimoxazole 40+200 mg/5ml suspension,Public,MPR,Haiti,2011,August,3.60,3.00,4.50
Diazepam 5 mg cap/tab,Private,MPR,Haiti,2011,August,20.65,20.65,41.31
Diazepam 5 mg cap/tab,Public,MPR,Haiti,2011,August,20.65,8.26,20.65
Diclofenac 50 mg cap/tab,Private,MPR,Haiti,2011,August,25.20,14.65,29.30
Diclofenac 50 mg cap/tab,Public,MPR,Haiti,2011,August,11.72,8.06,16.11
Glibenclamide 5 mg cap/tab,Private,MPR,Haiti,2011,August,20.38,14.82,35.20
Glibenclamide 5 mg cap/tab,Public,MPR,Haiti,2011,August,18.53,13.59,24.09
Omeprazole 20 mg cap/tab,Private,MPR,Haiti,2011,August,4.20,3.67,5.20
Omeprazole 20 mg cap/tab,Public,MPR,Haiti,2011,August,4.20,3.53,4.20
Paracetamol 120 mg/5ml suspension,Private,MPR,Haiti,2011,August,4.85,3.23,6.46
Paracetamol 120 mg/5ml suspension,Public,MPR,Haiti,2011,August,3.88,3.23,4.85
Salbutamol 100 mcg/dose inhaler,Private,MPR,Haiti,2011,August,2.26,2.22,2.58
Salbutamol 100 mcg/dose inhaler,Public,MPR,Haiti,2011,August,2.08,1.48,2.88
Simvastatin 20 mg cap/tab,Private,MPR,Haiti,2011,August,6.08,5.12,12.11
Simvastatin 20 mg cap/tab,Public,MPR,Haiti,2011,August,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,Unit,Haiti,2011,August,0.10,0.08,0.16
Amitriptyline 25 mg cap/tab,Public,Unit,Haiti,2011,August,NO DATA,NO DATA,NO DATA
Amoxicillin 500 mg cap/tab,Private,Unit,Haiti,2011,August,0.13,0.10,0.13
Amoxicillin 500 mg cap/tab,Public,Unit,Haiti,2011,August,0.08,0.06,0.10
Atenolol 50 mg cap/tab,Private,Unit,Haiti,2011,August,0.15,0.10,0.25
Atenolol 50 mg cap/tab,Public,Unit,Haiti,2011,August,0.07,0.05,0.12
Captopril 25 mg cap/tab,Private,Unit,Haiti,2011,August,0.13,0.09,0.13
Captopril 25 mg cap/tab,Public,Unit,Haiti,2011,August,0.10,0.03,0.13
Ceftriaxone 1 g/vial injection,Private,Unit,Haiti,2011,August,3.78,3.02,3.83
Ceftriaxone 1 g/vial injection,Public,Unit,Haiti,2011,August,1.77,1.26,3.78
Ciprofloxacin 500 mg cap/tab,Private,Unit,Haiti,2011,August,0.16,0.13,0.25
Ciprofloxacin 500 mg cap/tab,Public,Unit,Haiti,2011,August,0.13,0.08,0.14
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Haiti,2011,August,0.02,0.02,0.02
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,Haiti,2011,August,0.02,0.01,0.02
Diazepam 5 mg cap/tab,Private,Unit,Haiti,2011,August,0.13,0.13,0.25
Diazepam 5 mg cap/tab,Public,Unit,Haiti,2011,August,0.13,0.05,0.13
Diclofenac 50 mg cap/tab,Private,Unit,Haiti,2011,August,0.11,0.06,0.13
Diclofenac 50 mg cap/tab,Public,Unit,Haiti,2011,August,0.05,0.03,0.07
Glibenclamide 5 mg cap/tab,Private,Unit,Haiti,2011,August,0.07,0.05,0.12
Glibenclamide 5 mg cap/tab,Public,Unit,Haiti,2011,August,0.06,0.05,0.08
Omeprazole 20 mg cap/tab,Private,Unit,Haiti,2011,August,0.13,0.11,0.16
Omeprazole 20 mg cap/tab,Public,Unit,Haiti,2011,August,0.13,0.11,0.13
Paracetamol 120 mg/5ml suspension,Private,Unit,Haiti,2011,August,0.02,0.01,0.03
Paracetamol 120 mg/5ml suspension,Public,Unit,Haiti,2011,August,0.02,0.01,0.02
Salbutamol 100 mcg/dose inhaler,Private,Unit,Haiti,2011,August,0.02,0.02,0.02
Salbutamol 100 mcg/dose inhaler,Public,Unit,Haiti,2011,August,0.02,0.01,0.02
Simvastatin 20 mg cap/tab,Private,Unit,Haiti,2011,August,0.36,0.30,0.71
Simvastatin 20 mg cap/tab,Public,Unit,Haiti,2011,August,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,MPR,India Chennai,2004,October,4.99,4.99,4.99
Amitriptyline 25 mg cap/tab,Public,MPR,India Chennai,2004,October,free,free,free
Atenolol 50 mg cap/tab,Private,MPR,India Chennai,2004,October,4.34,2.25,4.75
Atenolol 50 mg cap/tab,Public,MPR,India Chennai,2004,October,free,free,free
Captopril 25 mg cap/tab,Private,MPR,India Chennai,2004,October,2.93,2.93,2.93
Captopril 25 mg cap/tab,Public,MPR,India Chennai,2004,October,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Private,MPR,India Chennai,2004,October,0.61,0.61,0.61
Ceftriaxone 1 g/vial injection,Public,MPR,India Chennai,2004,October,free,free,free
Ciprofloxacin 500 mg cap/tab,Private,MPR,India Chennai,2004,October,5.24,4.64,5.83
Ciprofloxacin 500 mg cap/tab,Public,MPR,India Chennai,2004,October,free,free,free
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,India Chennai,2004,October,1.16,1.16,1.16
Co-trimoxazole 40+200 mg/5ml suspension,Public,MPR,India Chennai,2004,October,free,free,free
Diazepam 5 mg cap/tab,Private,MPR,India Chennai,2004,October,9.77,8.20,9.77
Diazepam 5 mg cap/tab,Public,MPR,India Chennai,2004,October,free,free,free
Diclofenac 50 mg cap/tab,Private,MPR,India Chennai,2004,October,4.82,3.15,7.25
Diclofenac 50 mg cap/tab,Public,MPR,India Chennai,2004,October,free,free,free
Glibenclamide 5 mg cap/tab,Private,MPR,India Chennai,2004,October,3.07,2.57,3.66
Glibenclamide 5 mg cap/tab,Public,MPR,India Chennai,2004,October,free,free,free
Omeprazole 20 mg cap/tab,Private,MPR,India Chennai,2004,October,0.45,0.45,0.48
Omeprazole 20 mg cap/tab,Public,MPR,India Chennai,2004,October,free,free,free
Salbutamol 100 mcg/dose inhaler,Private,MPR,India Chennai,2004,October,0.86,0.86,0.86
